x,humidity,temperature
382,57.0,27.0
383,56.0,25.0
384,57.0,27.0
385,57.0,27.0
386,56.0,27.0
387,55.0,25.0
388,57.0,27.0
389,57.0,27.0
390,56.0,25.0
391,57.0,27.0
392,57.0,27.0
393,57.0,25.0
394,58.0,27.0
395,57.0,25.0
396,57.0,25.0
397,57.0,25.0
398,58.0,27.0
399,57.0,25.0
400,58.0,27.0
401,58.0,27.0
402,57.0,25.0
403,58.0,27.0
404,57.0,25.0
405,58.0,27.0
406,57.0,25.0
407,57.0,25.0
408,57.0,25.0
409,58.0,27.0
410,57.0,25.0
411,58.0,27.0
412,57.0,25.0
413,57.0,25.0
414,57.0,25.0
415,58.0,25.0
416,58.0,25.0
417,59.0,27.0
418,59.0,26.0
419,58.0,25.0
420,58.0,25.0
421,59.0,26.0
422,58.0,25.0
423,58.0,25.0
424,58.0,25.0
425,59.0,26.0
426,59.0,26.0
427,59.0,26.0
428,58.0,25.0
429,58.0,25.0
430,58.0,25.0
431,58.0,25.0
432,59.0,26.0
433,58.0,25.0
434,58.0,25.0
435,59.0,26.0
436,59.0,26.0
437,60.0,26.0
438,60.0,24.0
439,60.0,26.0
440,59.0,25.0
441,60.0,26.0
442,60.0,26.0
443,60.0,24.0
444,60.0,24.0
445,59.0,25.0
446,60.0,26.0
447,60.0,24.0
448,60.0,24.0
449,60.0,24.0
450,60.0,24.0
451,60.0,24.0
452,60.0,24.0
453,60.0,24.0
454,60.0,26.0
455,60.0,24.0
456,60.0,24.0
457,60.0,24.0
458,60.0,24.0
459,60.0,24.0
460,60.0,24.0
461,60.0,24.0
462,60.0,24.0
463,60.0,24.0
464,60.0,24.0
465,60.0,24.0
466,60.0,24.0
467,60.0,24.0
468,60.0,24.0
469,60.0,24.0
470,60.0,26.0
471,60.0,24.0
472,60.0,24.0
473,60.0,24.0
474,60.0,24.0
475,60.0,24.0
476,60.0,24.0
477,60.0,24.0
478,60.0,24.0
479,60.0,26.0
480,60.0,24.0
481,60.0,24.0
482,60.0,26.0
483,60.0,24.0
484,60.0,24.0
485,60.0,24.0
486,60.0,24.0
487,60.0,24.0
488,60.0,26.0
489,60.0,26.0
490,60.0,24.0
491,60.0,26.0
492,60.0,24.0
493,60.0,24.0
494,60.0,24.0
495,60.0,24.0
496,60.0,24.0
497,60.0,24.0
498,60.0,24.0
499,60.0,24.0
500,60.0,26.0
501,60.0,24.0
502,60.0,24.0
503,60.0,24.0
504,60.0,24.0
505,60.0,24.0
506,60.0,24.0
507,60.0,24.0
508,60.0,24.0
509,61.0,24.0
510,60.0,24.0
511,60.0,26.0
512,60.0,24.0
513,61.0,24.0
514,61.0,24.0
515,61.0,24.0
516,61.0,24.0
517,60.0,26.0
518,61.0,24.0
519,61.0,24.0
520,61.0,24.0
521,61.0,24.0
522,61.0,24.0
523,61.0,24.0
524,60.0,26.0
525,60.0,26.0
526,61.0,24.0
527,60.0,26.0
528,60.0,26.0
529,61.0,24.0
530,61.0,24.0
531,61.0,24.0
532,61.0,24.0
533,61.0,24.0
534,60.0,26.0
535,61.0,24.0
536,61.0,24.0
537,61.0,24.0
538,61.0,24.0
539,60.0,26.0
540,61.0,24.0
541,61.0,24.0
542,61.0,24.0
543,61.0,24.0
544,61.0,24.0
545,61.0,24.0
546,61.0,24.0
547,61.0,24.0
548,61.0,24.0
549,61.0,24.0
550,61.0,24.0
551,60.0,26.0
552,61.0,24.0
553,60.0,26.0
554,61.0,24.0
555,61.0,24.0
556,61.0,24.0
557,61.0,24.0
558,61.0,24.0
559,61.0,24.0
560,61.0,24.0
561,61.0,24.0
562,61.0,24.0
563,60.0,26.0
564,61.0,24.0
565,61.0,24.0
566,61.0,24.0
567,61.0,24.0
568,61.0,24.0
569,61.0,24.0
570,61.0,24.0
571,60.0,26.0
572,61.0,24.0
573,60.0,26.0
574,61.0,24.0
575,61.0,24.0
576,60.0,26.0
577,61.0,24.0
578,61.0,24.0
579,61.0,24.0
580,61.0,24.0
581,61.0,24.0
582,61.0,24.0
583,61.0,24.0
584,61.0,24.0
585,61.0,24.0
586,61.0,24.0
587,61.0,24.0
